model_quantile_m,well_quantile_m
-1.616,-1.289
-1.521,-1.26
-1.452,-1.221
-1.419,-1.21
-1.391,-1.21
-1.39,-1.2
-1.381,-1.19
-1.372,-1.19
-1.364,-1.185
-1.357,-1.175
-1.334,-1.17
-1.331,-1.165
-1.326,-1.16
-1.315,-1.14
-1.304,-1.14
-1.303,-1.12
-1.296,-1.09
-1.29,-1.085
-1.277,-1.085
-1.276,-1.08
-1.257,-1.08
-1.249,-1.08
-1.216,-1.07
-1.215,-1.07
-1.214,-1.07
-1.2,-1.065
-1.2,-1.045
-1.198,-1.045
-1.196,-1.04
-1.187,-1.04
-1.177,-1.035
-1.177,-1.035
-1.171,-1.015
-1.17,-1.005
-1.169,-1.0
-1.168,-1.0
-1.156,-1.0
-1.154,-0.99
-1.146,-0.97
-1.135,-0.965
-1.134,-0.955
-1.132,-0.95
-1.127,-0.95
-1.126,-0.945
-1.122,-0.94
-1.115,-0.938
-1.115,-0.92
-1.111,-0.92
-1.108,-0.92
-1.106,-0.915
-1.091,-0.91
-1.081,-0.905
-1.08,-0.9
-1.079,-0.9
-1.078,-0.895
-1.073,-0.885
-1.072,-0.88
-1.067,-0.88
-1.067,-0.87
-1.067,-0.862
-1.062,-0.85
-1.051,-0.85
-1.046,-0.85
-1.03,-0.845
-1.028,-0.84
-1.028,-0.84
-1.023,-0.84
-1.022,-0.835
-1.006,-0.832
-1.003,-0.83
-0.988,-0.83
-0.972,-0.82
-0.97,-0.82
-0.961,-0.815
-0.959,-0.815
-0.953,-0.815
-0.952,-0.81
-0.945,-0.8
-0.944,-0.795
-0.941,-0.79
-0.937,-0.79
-0.935,-0.785
-0.932,-0.785
-0.925,-0.77
-0.918,-0.77
-0.918,-0.76
-0.916,-0.76
-0.913,-0.76
-0.913,-0.75
-0.911,-0.745
-0.91,-0.74
-0.909,-0.74
-0.896,-0.74
-0.893,-0.735
-0.891,-0.73
-0.891,-0.73
-0.889,-0.73
-0.883,-0.72
-0.866,-0.72
-0.857,-0.715
-0.85,-0.715
-0.848,-0.71
-0.847,-0.71
-0.846,-0.7
-0.844,-0.695
-0.813,-0.68
-0.813,-0.68
-0.812,-0.68
-0.812,-0.675
-0.809,-0.67
-0.8,-0.67
-0.799,-0.66
-0.798,-0.66
-0.796,-0.66
-0.793,-0.66
-0.792,-0.66
-0.79,-0.645
-0.787,-0.645
-0.784,-0.64
-0.767,-0.64
-0.762,-0.63
-0.761,-0.63
-0.76,-0.63
-0.76,-0.63
-0.76,-0.61
-0.757,-0.6
-0.748,-0.6
-0.741,-0.595
-0.738,-0.595
-0.737,-0.59
-0.72,-0.59
-0.718,-0.59
-0.706,-0.58
-0.705,-0.58
-0.704,-0.58
-0.703,-0.57
-0.699,-0.56
-0.698,-0.555
-0.698,-0.555
-0.692,-0.55
-0.689,-0.54
-0.684,-0.53
-0.684,-0.52
-0.676,-0.52
-0.676,-0.52
-0.675,-0.512
-0.672,-0.51
-0.668,-0.495
-0.668,-0.49
-0.653,-0.48
-0.648,-0.48
-0.646,-0.48
-0.642,-0.465
-0.639,-0.46
-0.638,-0.455
-0.637,-0.45
-0.634,-0.445
-0.629,-0.425
-0.621,-0.42
-0.619,-0.42
-0.618,-0.404
-0.611,-0.4
-0.603,-0.4
-0.596,-0.39
-0.593,-0.39
-0.585,-0.388
-0.582,-0.38
-0.579,-0.38
-0.577,-0.375
-0.571,-0.365
-0.562,-0.36
-0.548,-0.36
-0.547,-0.35
-0.547,-0.35
-0.543,-0.35
-0.543,-0.345
-0.533,-0.34
-0.531,-0.33
-0.528,-0.33
-0.522,-0.315
-0.502,-0.295
-0.5,-0.265
-0.489,-0.26
-0.484,-0.25
-0.482,-0.25
-0.477,-0.24
-0.47,-0.24
-0.453,-0.23
-0.45,-0.22
-0.445,-0.22
-0.442,-0.2
-0.439,-0.2
-0.427,-0.16
-0.406,-0.158
-0.395,-0.155
-0.365,-0.15
-0.363,-0.145
-0.348,-0.14
-0.347,-0.135
-0.344,-0.13
-0.344,-0.13
-0.336,-0.125
-0.335,-0.11
-0.328,-0.095
-0.326,-0.05
-0.315,-0.045
-0.308,-0.045
-0.295,-0.04
-0.286,-0.04
-0.252,-0.04
-0.25,-0.035
-0.246,-0.028
-0.231,-0.02
-0.226,-0.02
-0.224,-0.01
-0.213,-0.008
-0.19,-0.005
-0.178,0.01
-0.126,0.015
-0.115,0.03
-0.103,0.03
-0.07,0.03
-0.064,0.038
-0.057,0.04
-0.01,0.04
