month,mode,median_level_modelled_m,median_level_observed_m,n_wells_observed,open_water_ha_modelled,wet_floor_ha_modelled,open_water_ha_observed,wet_floor_ha_observed,sentinel_index
2005-10,R,-0.575,-0.297,6,1.949,32.407,6.684,42.251,
2005-11,R,-0.368,-0.03,7,4.879,39.483,21.828,54.51,
2005-12,R,-0.39,0.01,7,4.426,38.663,26.063,56.631,
2006-01,R,-0.389,-0.087,8,4.445,38.7,16.955,51.625,
2006-02,R,-0.453,-0.077,10,3.347,36.408,17.723,52.12,
2006-03,R,-0.351,-0.028,10,5.261,40.129,22.023,54.614,
2006-04,R,-0.431,-0.08,13,3.69,37.18,17.489,51.971,
2006-05,R,-0.344,-0.172,24,5.427,40.398,11.632,47.603,
2006-06,R,-0.621,-0.485,24,1.59,31.015,2.905,35.313,
2006-07,R,-0.982,-0.755,24,0.321,21.978,0.878,27.293,
2006-08,R,-0.979,-0.62,24,0.325,22.041,1.597,31.045,
2006-09,R,-1.0,-0.775,24,0.296,21.603,0.803,26.777,
2006-10,R,-0.764,-0.55,24,0.843,27.059,2.178,33.189,
2006-11,R,-0.509,-0.305,24,2.612,34.513,6.451,41.93,
2006-12,R,-0.221,-0.105,24,9.361,45.429,15.654,50.745,
2007-01,R,-0.142,-0.025,24,13.286,48.985,22.317,54.771,
2007-02,R,-0.238,-0.05,24,8.681,44.698,19.976,53.48,
2007-03,R,-0.344,-0.195,24,5.427,40.398,10.504,46.57,
2007-04,R,-0.585,-0.41,24,1.865,32.099,4.05,37.932,
2007-05,R,-0.728,-0.57,27,0.989,28.005,1.993,32.562,
2007-06,R,-0.783,-0.52,27,0.775,26.573,2.487,34.153,
2007-07,R,-0.765,-0.61,29,0.84,27.033,1.669,31.342,
2007-08,R,-0.875,-0.7,31,0.516,24.34,1.12,28.763,
2007-09,R,-0.849,-0.64,31,0.579,24.951,1.461,30.458,
2007-10,R,-1.057,-0.77,31,0.23,20.46,0.821,26.905,
2007-11,R,-0.927,-0.61,31,0.409,23.162,1.669,31.342,
2007-12,R,-0.762,-0.45,31,0.851,27.111,3.392,36.512,
2008-01,R,-0.521,-0.18,31,2.476,34.12,11.227,47.241,
2008-02,R,-0.626,-0.25,31,1.555,30.868,8.232,44.189,
2008-03,R,-0.604,-0.3,32,1.714,31.522,6.595,42.13,
2008-04,R,-0.557,-0.395,32,2.111,32.968,4.329,38.479,
2008-05,R,-0.794,-0.63,31,0.738,26.296,1.527,30.75,
2008-06,R,-0.685,-0.59,31,1.197,29.178,1.824,31.946,
2008-07,R,-0.787,-0.75,31,0.762,26.472,0.897,27.423,
2008-08,R,-0.831,-0.75,31,0.627,25.384,0.897,27.423,
2008-09,R,-0.676,-0.76,31,1.246,29.429,0.858,27.163,
2008-10,R,-0.58,-0.26,31,1.906,32.253,7.875,43.769,
2008-11,R,-0.51,-0.19,32,2.6,34.48,10.74,46.792,
2008-12,R,-0.482,-0.16,32,2.944,35.414,12.267,48.151,
2009-01,R,-0.397,-0.085,32,4.29,38.406,17.106,51.723,
2009-02,R,-0.596,-0.23,32,1.776,31.764,8.995,45.04,
2009-03,R,-0.738,-0.395,32,0.946,27.739,4.329,38.479,
2009-04,R,-0.811,-0.425,32,0.685,25.873,3.79,37.393,
2009-05,R,-0.951,-0.665,32,0.368,22.637,1.308,29.74,
