Parameter,Well,Era,Value,Unit,Note
pastas_version,,,2.0.0,,Pastas release the cross-check ran on
pastas_n_wells,,,66.0,wells,reference wells with a converged Pastas AR(1) fit
pastas_n_identified_comparison_window,,,53.0,wells,comparison_window: wells whose response time is identified on the fitted months (e-fold <= 0.5 x n and relative SE <= 0.5)
pastas_n_not_identified_C1_comparison_window,,,0.0,wells,"comparison_window, C1 (Lake Edge): wells not identified (of 7)"
pastas_n_not_identified_C2_comparison_window,,,0.0,wells,"comparison_window, C2 (Dune): wells not identified (of 24)"
pastas_n_not_identified_C3_comparison_window,,,2.0,wells,"comparison_window, C3 (Western Residual): wells not identified (of 21)"
pastas_n_not_identified_C4_comparison_window,,,9.0,wells,"comparison_window, C4 (Main Forest): wells not identified (of 9)"
pastas_n_not_identified_C5_comparison_window,,,2.0,wells,"comparison_window, C5 (Coastal Forest): wells not identified (of 5)"
pastas_n_identified_full_record,,,63.0,wells,full_record: wells whose response time is identified on the fitted months (e-fold <= 0.5 x n and relative SE <= 0.5)
pastas_n_not_identified_C1_full_record,,,0.0,wells,"full_record, C1 (Lake Edge): wells not identified (of 7)"
pastas_n_not_identified_C2_full_record,,,0.0,wells,"full_record, C2 (Dune): wells not identified (of 24)"
pastas_n_not_identified_C3_full_record,,,0.0,wells,"full_record, C3 (Western Residual): wells not identified (of 21)"
pastas_n_not_identified_C4_full_record,,,3.0,wells,"full_record, C4 (Main Forest): wells not identified (of 9)"
pastas_n_not_identified_C5_full_record,,,0.0,wells,"full_record, C5 (Coastal Forest): wells not identified (of 5)"
pastas_vs_ssmB_beta_1_recharge_r,,,0.9930371988679687,,"Pearson r, Pastas (AR1 noise) beta_1_recharge against SSM ssmB at n = 66 wells (all, comparison_window)"
pastas_vs_ssmB_beta_1_recharge_rho,,,0.9929861183592528,,"Spearman rho, Pastas (AR1 noise) beta_1_recharge against SSM ssmB at n = 66 wells (all, comparison_window)"
pastas_vs_ssmB_beta_1_recharge_median_ratio,,,1.0485706740091456,,"median Pastas:ssmB ratio of beta_1_recharge (p16 1.025, p84 1.105; all, comparison_window)"
pastas_vs_ssmA_beta_1_recharge_r,,,0.9637175532990895,,"Pearson r, Pastas (AR1 noise) beta_1_recharge against SSM ssmA at n = 66 wells (all, comparison_window)"
pastas_vs_ssmA_beta_1_recharge_rho,,,0.9718192255505689,,"Spearman rho, Pastas (AR1 noise) beta_1_recharge against SSM ssmA at n = 66 wells (all, comparison_window)"
pastas_vs_ssmA_beta_1_recharge_median_ratio,,,0.9200171057973345,,"median Pastas:ssmA ratio of beta_1_recharge (p16 0.841, p84 0.989; all, comparison_window)"
pastas_vs_ssmB_beta_2_atmospheric_draw_r,,,0.9599087193021235,,"Pearson r, Pastas (AR1 noise) beta_2_atmospheric_draw against SSM ssmB at n = 66 wells (all, comparison_window)"
pastas_vs_ssmB_beta_2_atmospheric_draw_rho,,,0.9221793132240895,,"Spearman rho, Pastas (AR1 noise) beta_2_atmospheric_draw against SSM ssmB at n = 66 wells (all, comparison_window)"
pastas_vs_ssmB_beta_2_atmospheric_draw_median_ratio,,,0.9005869015510275,,"median Pastas:ssmB ratio of beta_2_atmospheric_draw (p16 0.834, p84 0.957; all, comparison_window)"
pastas_vs_ssmA_beta_2_atmospheric_draw_r,,,0.40213862289606594,,"Pearson r, Pastas (AR1 noise) beta_2_atmospheric_draw against SSM ssmA at n = 66 wells (all, comparison_window)"
pastas_vs_ssmA_beta_2_atmospheric_draw_rho,,,0.366203945308423,,"Spearman rho, Pastas (AR1 noise) beta_2_atmospheric_draw against SSM ssmA at n = 66 wells (all, comparison_window)"
pastas_vs_ssmA_beta_2_atmospheric_draw_median_ratio,,,1.2919560619290973,,"median Pastas:ssmA ratio of beta_2_atmospheric_draw (p16 1.033, p84 1.819; all, comparison_window)"
pastas_vs_ssmB_beta_3_drainage_r,,,0.9777673440569502,,"Pearson r, Pastas (AR1 noise) beta_3_drainage against SSM ssmB at n = 66 wells (all, comparison_window)"
