Well,Well_ID,Era,Era_start,Era_end,N_summers,Mean_depth_m,SD_depth_m,Min_depth_m,Max_depth_m
CEH36,ceh36,Pre-2015,record_start,2015-04-01,4,1.085,0.1115,0.95,1.2
CEH36,ceh36,2015–17,2015-04-01,2018-01-01,3,0.8867,0.1731,0.66,1.08
CEH36,ceh36,Post-fell 2018–23,2018-01-01,2023-10-01,6,0.9733,0.0929,0.79,1.07
CEH36,ceh36,Post-rescrape 2024+,2023-10-01,record_end,2,0.905,0.165,0.74,1.07
CEH18,ceh18,Pre-2015,record_start,2015-04-01,8,0.9987,0.2557,0.56,1.31
CEH18,ceh18,2015–17,2015-04-01,2018-01-01,3,1.1567,0.1497,0.95,1.3
CEH18,ceh18,Post-fell 2018–23,2018-01-01,2023-10-01,6,1.2667,0.1146,1.08,1.41
CEH18,ceh18,Post-rescrape 2024+,2023-10-01,record_end,2,1.085,0.105,0.98,1.19
CEH21,ceh21,Pre-2015,record_start,2015-04-01,5,1.208,0.1141,1.07,1.35
CEH21,ceh21,2015–17,2015-04-01,2018-01-01,3,1.2533,0.1112,1.1,1.36
CEH21,ceh21,Post-fell 2018–23,2018-01-01,2023-10-01,6,1.3483,0.0747,1.25,1.47
CEH21,ceh21,Post-rescrape 2024+,2023-10-01,record_end,2,1.31,0.11,1.2,1.42
CEH4 (control),ceh4,Pre-2015,record_start,2015-04-01,9,0.7567,0.2587,0.39,1.09
CEH4 (control),ceh4,2015–17,2015-04-01,2018-01-01,3,0.9833,0.1327,0.8,1.11
CEH4 (control),ceh4,Post-fell 2018–23,2018-01-01,2023-10-01,6,1.07,0.1223,0.87,1.23
CEH4 (control),ceh4,Post-rescrape 2024+,2023-10-01,record_end,2,1.1,0.23,0.87,1.33
