id,verdict,reason,better,batch,attribution_read
report:910bc25f4e,confirm,pipeline_steps_registered matches '57 steps'.,,"report, report6, report7",pipeline_steps_registered = 57 [pipeline_manifest.json]
report:cfffa1dd50,confirm,pipeline_phases_total matches '18 phases'.,,"report, report6, report7",pipeline_phases_total = 18 [pipeline_manifest.json]
report:f85daaf7e2,confirm,88 = 66+22 dipwell count matches 'network of 88 wells' (legitimate derived count).,,"report, report6, report7",66 reference + 22 extended well columns = 88 dipwells = 88 [01_wells_reference.csv]
report:09efc56c83,confirm,k=5 cluster count matches 'identifies five hydrogeological units'.,,"report, report6, report7",distinct clusters in cluster_k5 (k = 5) · cluster_k5 = 5 [02_07_cluster_membership_k5.csv]
report:1dc3a4c913,confirm,C1 LCSC_percent matches 'lcsc = 21.8%'.,,"report, report6, report7",C1 (Lake Edge) · LCSC_percent = 21.8413 [03_03_cluster_mechanistic_coefficients.csv]
report:291f84f061,confirm,C2 LCSC_percent matches 'lcsc = 25.2%'.,,"report, report6, report7",C2 (Dune) · LCSC_percent = 25.1758 [03_03_cluster_mechanistic_coefficients.csv]
report:bf57d41860,confirm,C3 LCSC_percent matches 'lcsc = 28.0%'.,,"report, report6, report7",C3 (Western Residual) · LCSC_percent = 27.9889 [03_03_cluster_mechanistic_coefficients.csv]
report:458dd16739,confirm,C4 LCSC_percent matches '40.4%'.,,"report, report6, report7",C4 (Main Forest) · LCSC_percent = 40.3703 [03_03_cluster_mechanistic_coefficients.csv]
report:f165eecb18,confirm,C5 LCSC_percent matches '41.2%'.,,"report, report6, report7",C5 (Coastal Forest) · LCSC_percent = 41.1871 [03_03_cluster_mechanistic_coefficients.csv]
report:e69ae428c8,deny,"24% interception reduction attributed to alpha_B persistence parameter, not the interception fraction the sentence names.",FOREST_INTERCEPTION = 0.24 [config.py],"report, report6, report7",C4 (Main Forest) · SSM_drain_frac = 0.2388 [16_water_bal_rec_table.csv] as %
report:4f4fd655d5,confirm,C4 beta_2_atmospheric_draw matches 'β₂ = 2.56'.,,"report, report6, report7",C4 (Main Forest) · beta_2_atmospheric_draw · 03_03_cluster_mechanistic_coefficients.csv · committed 2.5625958969997766 · index proposed
