kind,old,new,typed_refs,documents
figure,80,81,,
figure,79,80,,
figure,78,79,,
figure,77,78,,
figure,76,77,,
figure,75,76,,
figure,74,75,,
figure,73,74,,
figure,72,73,,
figure,71,72,,
figure,70,71,,
figure,69,70,,
figure,68,69,,
figure,67,68,,
figure,66,67,,
figure,65,66,,
figure,64,65,,
figure,63,64,,
figure,62,63,,
figure,61,62,,
figure,60,61,,
figure,59,60,,
figure,58,59,,
figure,57,58,,
figure,56,57,,
figure,55,56,,
figure,54,55,,
figure,53,54,,
figure,52,53,,
figure,51,52,,
figure,50,51,,
figure,49,50,,
figure,48,49,,
figure,47,48,,
figure,46,47,,
figure,45,46,,
figure,44,45,,
figure,43,44,,
figure,42,43,,
figure,41,42,,
figure,40,41,,
figure,39,40,,
figure,38,39,,
figure,37,38,,
figure,36,37,,
figure,35,36,,
figure,34,35,,
figure,33,34,,
figure,32,33,,
figure,31,32,,
figure,30,31,,
figure,29,30,,
figure,28,29,,
figure,27,28,,
figure,26,27,,
figure,25,26,,
figure,24,25,,
figure,23,24,,
figure,22,23,,
figure,21,22,,
figure,20,21,,
figure,19,20,,
figure,18,19,,
figure,17,18,,
figure,16,17,,
figure,15,16,,
figure,14,15,,
figure,13,14,,
figure,12,13,,
