kind,old,new,why
figure,48,57,management-influence section created; combined-baseline map to the driver synthesis
figure,49,48,management-influence section created; combined-baseline map to the driver synthesis
figure,50,49,management-influence section created; combined-baseline map to the driver synthesis
figure,51,50,management-influence section created; combined-baseline map to the driver synthesis
figure,52,51,management-influence section created; combined-baseline map to the driver synthesis
figure,53,52,management-influence section created; combined-baseline map to the driver synthesis
figure,54,53,management-influence section created; combined-baseline map to the driver synthesis
figure,55,54,management-influence section created; combined-baseline map to the driver synthesis
figure,56,55,management-influence section created; combined-baseline map to the driver synthesis
figure,57,56,management-influence section created; combined-baseline map to the driver synthesis
section,4.11,4.12,same change; the new section takes 4.11
section,4.11.1,4.12.1,same change; the new section takes 4.11
section,4.12,4.13,same change; the new section takes 4.11
section,4.12.1,4.13.1,same change; the new section takes 4.11
section,4.12.2,4.13.2,same change; the new section takes 4.11
