kind,old,new,why
figure,52,60,Combined Driver Assessment relocated after the coastal section
figure,53,61,Combined Driver Assessment relocated after the coastal section
figure,54,62,Combined Driver Assessment relocated after the coastal section
figure,55,63,Combined Driver Assessment relocated after the coastal section
figure,56,64,Combined Driver Assessment relocated after the coastal section
figure,57,65,Combined Driver Assessment relocated after the coastal section
figure,58,66,Combined Driver Assessment relocated after the coastal section
figure,59,67,Combined Driver Assessment relocated after the coastal section
figure,60,68,Combined Driver Assessment relocated after the coastal section
figure,61,69,Combined Driver Assessment relocated after the coastal section
figure,62,52,Combined Driver Assessment relocated after the coastal section
figure,63,53,Combined Driver Assessment relocated after the coastal section
figure,64,54,Combined Driver Assessment relocated after the coastal section
figure,65,55,Combined Driver Assessment relocated after the coastal section
figure,66,56,Combined Driver Assessment relocated after the coastal section
figure,67,57,Combined Driver Assessment relocated after the coastal section
figure,68,58,Combined Driver Assessment relocated after the coastal section
figure,69,59,Combined Driver Assessment relocated after the coastal section
section,4.9.7,4.11,same relocation; the synthesis promoted to a level-2 section
section,4.9.7.1,4.11.1,same relocation; the synthesis promoted to a level-2 section
section,4.11,4.12,same relocation; the synthesis promoted to a level-2 section
section,4.11.1,4.12.1,same relocation; the synthesis promoted to a level-2 section
section,4.11.2,4.12.2,same relocation; the synthesis promoted to a level-2 section
