kind,old,new,typed_refs,documents
figure,47,49,,
figure,48,50,,
figure,49,51,,
figure,50,52,,
figure,51,53,,
figure,52,54,,
figure,53,55,,
figure,54,56,,
figure,55,57,,
figure,56,58,,
figure,57,59,,
figure,58,60,,
figure,59,61,,
figure,60,62,,
figure,61,63,,
figure,62,64,,
figure,63,65,,
figure,64,66,,
figure,65,67,,
figure,66,68,,
figure,67,69,,
figure,68,70,,
figure,69,71,,
figure,70,72,,
figure,71,73,,
figure,72,74,,
figure,73,75,,
figure,74,76,,
figure,75,77,,
figure,76,78,,
figure,77,79,,
figure,78,80,,
